sample	cluster
THR32_0959_S01	0
TH02_0084_S01	0
TCGA-S9-A6U6-01	2
TH02_0096_S01	0
THR13_0974_S01	0
THR14_0326_S01	2
TH02_0651_S01	1
THR13_0970_S01	0
THR31_0918_S01	2
THR14_0302_S01	2
TH02_0654_S01	0
TH02_0079_S01	0
TCGA-S9-A6U1-01	2
THR14_0308_S01	1
TH02_0074_S01	2
TH02_0652_S01	0
TCGA-S9-A7J2-01	2
TCGA-DB-A75O-01	2
TCGA-DU-6404-01	0
TH02_0078_S01	2
THR14_0312_S01	0
TH02_0076_S01	0
TH02_0085_S01	0
TH02_0086_S01	0
THR32_0960_S01	0
THR13_0968_S01	0
TH02_0083_S01	0
TH02_0082_S01	0
TCGA-TQ-A7RF-01	0
TH02_0089_S01	0
TH02_0075_S01	0
TCGA-FG-5963-01	2
TH02_0077_S01	0
THR14_0324_S01	1
TCGA-FG-5963-02	2
TCGA-DU-A6S7-01	2
THR13_0969_S01	1
THR14_0309_S01	1
THR14_0310_S01	1
THR14_0301_S01	1
THR14_0313_S01	1
TCGA-KT-A74X-01	2
TH02_0090_S01	0
TH02_0093_S01	0
TH02_0087_S01	0
TH02_0081_S01	2
TH02_0087_S02	0
THR13_0963_S01	1
THR13_0971_S01	2
TH06_1175_S01	1
THR32_0958_S01	1
TCGA-E1-A7YV-01	2
THR13_0965_S01	0
THR13_0964_S01	1
TH06_0647_S01	0
THR14_0311_S01	1
TH02_0653_S01	0
TCGA-FG-8181-01	2
TH02_0092_S01	1
TH02_0091_S01	1
TH06_0627_S01	1
TCGA-P5-A72X-01	2
TH02_0094_S01	0
TH02_0095_S01	0
TCGA-06-2569-01	0
TCGA-DU-6404-02	0
THR13_0972_S01	1
TCGA-P5-A730-01	2
TH02_0088_S01	0
TCGA-06-5416-01	1
THR13_0973_S01	1
TH02_0656_S01	0
TH04_0021_S01	2
TCGA-HT-7857-01	1
THR14_0327_S01	1
THR14_0303_S01	2
TH06_0616_S01	1
TCGA-QH-A65X-01	2
